Date,Event,Weight
2022-02-24,Start Russian Invasion,1
2022-02-25,"Battles for Kyiv, Mariupol, Melitipol",0.75
2022-03-01,"Bombing of Babiy Yar, Ukrainian Holocost Center",0.75
2022-03-03,Russian attack for Kyiv came to stop,0.75
2022-03-06,Bombing of the the theater in Mariupol with children,0.75
2022-03-09,Bombing of the maternity hospital in Mariupol,0.75
2022-03-13,Documentary maker and journalist Brent Renault dies,0.3
2022-03-24,Surviving prisoner of Buchenwald Boris Romanenko died,0.3
2022-04-03,Evidence of massacre in Bucha revealed,0.75
2022-04-08,The shelling of the train station in Kramatorsk,0.75
2022-04-09,British Prime Minister Boris Johnson arrived to Kyiv,0.3
2022-04-14,Sinking of the Russian cruiser Moscow,0.5
2022-04-28,The U.S. House of Representatives passed the Lend-Lease Act for Ukraine,0.5
2022-05-16,Exit of the wounded Ukrainian soldiers from Azovstal,0.3
2022-06-27,Rocket attack on a shopping center in Kremenchuk,0.5
2022-07-28,Torture and murder of a Ukrainian prisoner of war,0.3